name	country	gender	birthdate	competition_years	first	last
Laura POSTHUMA	NED	W	14 Feb 1980	1980	2007,2007,2006,2006,2005,2005,2005,2005,2004,2004,2003,2003	2003	2007
Maud KINKERS	NED	W	9 Aug 1980	1980	2003	2003	2003
Anton TCHERMATCHENTSEV	RUS	M	21 Jun 1976	1976	2003,2001,1997,1997	1997	2003
Tatiana YEFREMOVA	RUS	M	1 Feb 1972	1972	2003,2003	2003	2003
Prodromos HATZIIOANNIDIS	GRE	M	18 Dec 1981	1981	2003	2003	2003
Matt RICH	USA	M	30 Apr 1975	1975	2003	2003	2003
Andrew KELLY	USA	M	4 Apr 1982	1982	2003	2003	2003
Julie NICHOLS	USA	W	21 Apr 1978	1978	2012,2012,2012,2011,2011,2011,2011,2010,2008,2006,2006,2006,2005,2004,2003	2003	2012
Andrew BOLTON	USA	M	24 Jan 1980	1980	2008,2007,2007,2006,2003	2003	2008
John WACHTER III	USA	M	9 Oct 1981	1981	2005,2004,2003	2003	2005
Joseph FINELLI	USA	M	6 Aug 1980	1980	2003	2003	2003
Renee HYKEL	USA	W	31 May 1979	1979	2008,2008,2006,2006,2006,2005,2004,2003	2003	2008
Meghan SARBANIS	USA	W	14 May 1977	1977	2010,2009,2003	2003	2010
Maria PICONE	USA	W	20 Nov 1973	1973	2004,2003	2003	2004
Shawn STEPHENSON	USA	M	10 Aug 1970	1970	2004,2003	2003	2004
Martin HARRIS	GBR	M	8 Aug 1968	1968	2003,2003	2003	2003
Daniel HARTE	GBR	M	12 Dec 1975	1975	2008,2008,2007,2007,2007,2007,2006,2006,2006,2006,2005,2005,2005,2005,2003,2003	2003	2008
Richard EGINGTON	GBR	M	26 Feb 1979	1979	2012,2012,2012,2012,2011,2011,2011,2010,2010,2010,2010,2009,2009,2009,2009,2008,2008,2008,2008,2007,2007,2007,2007,2006,2006,2005,2005,2005,2004,2004,2003	2003	2012
Eugen COBZA	MDA	M	2 Jan 1979	1979	None	None	None
VItalie JALBA	MDA	M	30 Mar 1982	1982	None	None	None
Viorel RUSSU	MDA	M	23 Feb 1982	1982	None	None	None
Nicolae MARIAN	MDA	M	25 Dec 1983	1983	None	None	None
Yoon Hui LEE	KOR	W	5 Sep 1986	1986	2013,2004,2004,2003	2003	2013
Jung Won CHOI	KOR	W	7 Apr 1982	1982	2003	2003	2003
Young Tae KIM	KOR	W	13 May 1984	1984	2003	2003	2003
Aaron PREETAM	DOM	M	14 Jun 1974	1974	2006,2004,2003	2003	2006
Sharbil NAMMOUR	LBN	M	30 May 1979	1979	None	None	None
Irina DEGTYARYOVA	UKR	W	13 Aug 1980	1980	2003	2003	2003
John YIM	SGP	M	1 May 1980	1980	2003	2003	2003
Nickolas DAWES	AUS	M	2 May 1981	1981	None	None	None
Jennifer EMERSON	AUS	W	31 Dec 1983	1983	2003	2003	2003
Ben FELTEN	AUS	M	8 Sep 1967	1967	2003	2003	2003
Natalie BALE	AUS	W	7 Apr 1986	1986	2008,2008,2008,2007,2007,2007,2005,2005,2004,2003	2003	2008
Angus CAMPBELL	AUS	M	24 Mar 1985	1985	2003	2003	2003
Alexander CARY	AUS	M	21 Jan 1985	1985	2003	2003	2003
Luke ELLIS	AUS	M	3 Aug 1985	1985	2003	2003	2003
Kade GREENLAND	AUS	M	16 Sep 1985	1985	2003	2003	2003
Thomas HALL	AUS	M	30 Jun 1985	1985	2003	2003	2003
Harry HORWITZ-ROURKE	AUS	M	23 Jun 1985	1985	2003	2003	2003
Sally KEHOE	AUS	W	25 Sep 1986	1986	2016,2016,2016,2015,2015,2015,2014,2014,2014,2014,2012,2012,2012,2012,2011,2011,2010,2010,2010,2009,2008,2008,2008,2007,2007,2007,2006,2006,2006,2005,2005,2005,2004,2004,2003	2003	2016
Tara KELLY	AUS	W	21 Jun 1985	1985	2007,2005,2005,2004,2003	2003	2007
Annika NAUGHTON	AUS	W	11 Jun 1986	1986	2006,2005,2005,2004,2003	2003	2006
Daniel ROLLINSON	AUS	M	24 Jul 1985	1985	2003	2003	2003
Gareth SALKIELD	AUS	M	23 Apr 1985	1985	2004,2003	2003	2004
Rupert SHERIDAN	AUS	M	6 Apr 1985	1985	2003	2003	2003
Peter TAYLOR	AUS	M	30 Nov 1980	1980	2004,2003,2002	2002	2004
Julia VENESS-COLLINS	AUS	W	14 Apr 1985	1985	2006,2003	2003	2006
Dave WILLIAMS	AUS	M	17 Jul 1985	1985	2003	2003	2003
Robert WILLIAMS	AUS	M	23 Oct 1985	1985	2004,2003	2003	2004
Nikolaus BRUMMER	AUT	M	4 Oct 1985	1985	2003	2003	2003
Oliver KOMAROMY	AUT	M	2 Dec 1986	1986	2012,2012,2012,2011,2011,2011,2011,2010,2010,2010,2010,2010,2008,2008,2008,2008,2007,2007,2007,2007,2005,2005,2004,2003	2003	2012
Daniel KROPF	AUT	M	5 Mar 1986	1986	2004,2003	2003	2004
Valentin PARZER	AUT	M	20 Feb 1986	1986	2005,2005,2004,2003	2003	2005
Roman REITER	AUT	M	22 Mar 1985	1985	2007,2006,2005,2004	2004	2007
Andreas RESSI	AUT	M	16 Jul 1985	1985	2003	2003	2003
Guenther SCHETELIG	AUT	M	25 Jan 1985	1985	2004,2004,2004,2003	2003	2004
Dominik SIGL	AUT	M	15 Dec 1986	1986	2015,2015,2015,2015,2014,2014,2014,2014,2013,2013,2013,2013,2012,2012,2012,2012,2011,2011,2011,2011,2010,2010,2010,2010,2010,2009,2009,2009,2009,2008,2008,2008,2008,2007,2007,2007,2007,2006,2005,2004,2003,2000	2000	2015
Andreas TADER	AUT	M	5 Apr 1985	1985	2006,2005,2003	2003	2006
Tiago CARDOSO DA SILVA	BEL	M	30 Jan 1985	1985	2007,2007,2003	2003	2007
Florian DIEU	BEL	M	23 Aug 1985	1985	2003	2003	2003
Nicolas SCHIEPERS	BEL	M	13 Jun 1985	1985	2003	2003	2003
Sebastien STRYCHARSKI	BEL	M	16 Jul 1985	1985	2003	2003	2003
Gilles VAN POECKE	BEL	M	2 Jan 1985	1985	2003	2003	2003
Piotr ANATSKA	BLR	M	2 Mar 1985	1985	2003	2003	2003
Natallia BANDAREVICH	BLR	W	24 Sep 1985	1985	2003	2003	2003
Aliaksei DZIANISAU	BLR	M	28 Aug 1985	1985	2006,2006,2005,2004,2003	2003	2006
Aliaksandr HANCHAREVICH	BLR	M	2 Jun 1986	1986	2005,2004,2003	2003	2005
Natallia MIHAL-HRYHALCHYK	BLR	W	22 Aug 1985	1985	2007,2007,2007,2006,2005,2005,2004,2004,2003	2003	2007
Aliaksandr NEUMIARZHYTSKI	BLR	M	5 Oct 1986	1986	2006,2005,2004,2003	2003	2006
Aliaksandr NOVIKAU	BLR	M	30 Oct 1985	1985	2008,2008,2007,2007,2007,2006,2006,2006,2006,2005,2005,2005,2004,2004,2004,2003	2003	2008
Artsiom ROPAT	BLR	M	6 May 1985	1985	2003	2003	2003
Michail MICHAILOV	BUL	M	15 Sep 1980	1980	None	None	None
Kiril STOYANOV	BUL	M	18 Mar 1985	1985	2003	2003	2003
Brandon CAMPBELL	CAN	M	7 Apr 1987	1987	2003	2003	2003
Stephanie CONNOLLY	CAN	W	30 Apr 1986	1986	2006,2005,2003	2003	2006
Kara FARQUHARSON	CAN	W	8 Aug 1985	1985	2006,2005,2003	2003	2006
Michael FLIGHT	CAN	M	17 Nov 1987	1987	2004,2003	2003	2004
James GROSSMITH	CAN	M	15 Apr 1986	1986	2005,2004,2003	2003	2005
Natasha LEJER	CAN	W	25 Feb 1985	1985	2003	2003	2003
Devin MILLER	CAN	M	18 Jan 1985	1985	2004,2003	2003	2004
Blake PUCSEK	CAN	M	21 Sep 1986	1986	2008,2005,2004,2003	2003	2008
Brendan ROBINSON	CAN	M	9 Jul 1985	1985	2006,2004,2003	2003	2006
Heather VANDERGEEST	CAN	M	12 Nov 1986	1986	2003	2003	2003
Branko BEGOVIC	CRO	M	15 Oct 1986	1986	2013,2013,2013,2012,2012,2009,2008,2008,2007,2007,2007,2007,2006,2006,2005,2005,2004,2003	2003	2013
Marin BEGOVIC	CRO	M	15 Oct 1986	1986	2015,2015,2015,2014,2013,2013,2013,2012,2012,2009,2008,2008,2007,2007,2007,2007,2006,2006,2005,2004,2003	2003	2015
Josip STOJCEVIC	CRO	M	13 Aug 1986	1986	2011,2011,2011,2009,2009,2009,2009,2008,2008,2008,2007,2007,2007,2006,2006,2006,2005,2004,2003	2003	2011
Daniel FARON	CZE	M	27 Mar 1985	1985	2003	2003	2003
Marek LACHMAN	CZE	M	11 Apr 1985	1985	2007,2007,2006,2005,2004,2003	2003	2007
Peter ANDERSEN	DEN	M	20 Sep 1986	1986	2003,1986	1986	2003
Mia ESPERSEN	DEN	W	4 Feb 1985	1985	2011,2011,2010,2010,2010,2009,2009,2009,2009,2008,2004,2003	2003	2011
Anne HARDERS	DEN	W	4 Sep 1985	1985	2004,2003	2003	2004
Ulrich HOEGSTEDT	DEN	M	25 Mar 1986	1986	2008,2007,2006,2005,2004,2003	2003	2008
Simon JENSEN	DEN	M	3 Jun 1988	1988	2004,2003	2003	2004
Kelvin BWIBO	KEN	M	26 Sep 1990	1990	2011,2011	2011	2011
Mikkel KRENCHEL	DEN	M	14 Aug 1985	1985	2005,2005,2003,2002	2002	2005
Mads OLSEN	DEN	M	4 Feb 1985	1985	2003	2003	2003
Jes STRUCK	DEN	M	29 Nov 1985	1985	2012,2012,2012,2011,2011,2011,2010,2009,2007,2007,2005,2004,2003	2003	2012
Helene THEANDER	DEN	W	17 Sep 1985	1985	2003	2003	2003
Meritxell ALONSO BERTOMEU	ESP	W	7 Mar 1986	1986	2011,2005,2005,2004,2003	2003	2011
Elias CABRERA FERNANDEZ	ESP	M	6 Mar 1986	1986	2004,2003	2003	2004
David FERNANDEZ CABRERA	ESP	M	12 Oct 1985	1985	2003	2003	2003
Fernando RIVERO CARRASCO	ESP	M	1 May 1985	1985	2003	2003	2003
Alexandra RUIZ FELTRER	ESP	W	6 Dec 1986	1986	2005,2004,2003	2003	2005
Jordi THOS FERNANDEZ	ESP	M	13 May 1986	1986	2004,2003	2003	2004
Eva VAL DEL RIO	ESP	W	1 Jan 1985	1985	2005,2005,2004,2003	2003	2005
Pau VELA MAGGI	ESP	M	31 May 1986	1986	2018,2018,2017,2017,2017,2017,2016,2016,2016,2016,2015,2015,2015,2014,2014,2014,2013,2013,2013,2012,2012,2012,2011,2011,2011,2011,2010,2010,2010,2009,2009,2009,2008,2008,2008,2007,2006,2004,2003	2003	2018
Marc VERGES CASANOVAS	ESP	M	24 Jul 1986	1986	2004,2003	2003	2004
Oleg DMITRIJEV	EST	M	5 Oct 1985	1985	2006,2006,2005,2005,2004,2003	2003	2006
Valeri PROSVIRNIN	EST	M	26 May 1986	1986	2011,2011,2011,2010,2010,2009,2009,2009,2008,2008,2008,2007,2007,2007,2007,2006,2006,2005,2004,2003	2003	2011
Raimo PULL	EST	M	2 Dec 1985	1985	2007,2006,2003	2003	2007
Alvar RAEAEGEL	EST	M	20 Feb 1986	1986	2009,2008,2007,2007,2007,2006,2006,2005,2004,2004,2004,2003	2003	2009
Andrus SABIIN	EST	M	25 Feb 1986	1986	2011,2011,2011,2010,2010,2009,2008,2007,2007,2007,2006,2006,2005,2004,2003	2003	2011
Julien BAHAIN	CAN	M	20 Apr 1986	1986	2016,2016,2016,2016,2015,2015,2014,2014,2014,2012,2012,2012,2012,2012,2011,2011,2011,2010,2010,2010,2010,2010,2009,2009,2009,2008,2008,2008,2008,2008,2007,2007,2007,2007,2006,2006,2006,2005,2005,2005,2005,2004,2003	2003	2016
Gabrielle BUSSON	FRA	W	23 Jul 1985	1985	2003	2003	2003
Charlotte BERNARD DE DOMPSURE	FRA	W	26 Mar 1986	1986	2004,2003	2003	2004
Emmanuelle DUMAS	FRA	W	23 Apr 1986	1986	2004,2003	2003	2004
Roxane GABRIEL	FRA	W	5 Aug 1986	1986	2011,2009,2008,2007,2007,2006,2005,2005,2004,2003	2003	2011
Alexandra GIRARD	FRA	W	5 Nov 1985	1985	2010,2003	2003	2010
Julie GOLEO	FRA	W	27 Feb 1986	1986	2004,2003	2003	2004
Olivier GRAUWIN	FRA	M	19 Apr 1985	1985	2006,2005,2004,2003	2003	2006
Jean-Marie IMBERT	FRA	M	16 Oct 1985	1985	2010,2007,2007,2006,2006,2005,2004,2003	2003	2010
Romain LECUYER	FRA	M	4 Mar 1985	1985	2007,2005,2003	2003	2007
Sebastien LENTE	FRA	M	12 Jan 1985	1985	2015,2015,2015,2015,2015,2014,2014,2014,2013,2013,2013,2013,2012,2012,2012,2011,2011,2011,2010,2010,2010,2010,2009,2009,2009,2009,2008,2008,2008,2008,2007,2007,2007,2006,2006,2005,2003	2003	2015
Gwenaelle LEVEQUE	FRA	W	28 Feb 1985	1985	2003	2003	2003
Carole MEUNIER	FRA	W	29 Sep 1986	1986	2003	2003	2003
Cyril ROBITEAU	FRA	M	27 May 1986	1986	2004,2003	2003	2004
Bertrand ROFIDAL	FRA	M	25 Jun 1985	1985	2003	2003	2003
Pierre SELLIER	FRA	M	21 Mar 1985	1985	2003	2003	2003
Osmin SICARD	FRA	M	18 Oct 1986	1986	2003	2003	2003
Ludovic VINCENT	FRA	M	10 Jun 1986	1986	2003	2003	2003
Clemence WILLAUME	FRA	W	3 Mar 1986	1986	2010,2010,2006,2006,2006,2005,2005,2004,2003	2003	2010
Jamie ANDERSON	GBR	M	1 Mar 1985	1985	2003	2003	2003
Caroline BARRETT	GBR	W	24 Jan 1985	1985	2003	2003	2003
Nicholas BRODIE	GBR	M	6 Aug 1986	1986	2006,2005,2004,2003	2003	2006
Benjamin CURTIS	GBR	M	10 Jun 1985	1985	2003	2003	2003
Alexander DAY	GBR	M	8 Jun 1985	1985	2003	2003	2003
Laura GREENHALGH	GBR	W	2 Sep 1985	1985	2010,2009,2009,2009,2008,2008,2008,2008,2007,2007,2007,2005,2004,2003	2003	2010
David HOLLINSHEAD	GBR	M	24 Sep 1985	1985	2003	2003	2003
Sophie HOSKING	GBR	W	25 Jan 1986	1986	2012,2012,2012,2012,2011,2011,2011,2010,2010,2010,2010,2009,2009,2009,2009,2008,2008,2008,2007,2007,2007,2007,2007,2006,2006,2004,2003	2003	2012
George KITOVITZ	GBR	M	7 Oct 1985	1985	2003	2003	2003
David LAMBOURN	GBR	M	8 Jan 1986	1986	2004,2003	2003	2004
Victoria LAND	GBR	W	2 Sep 1985	1985	2003	2003	2003
Oliver MOORE	GBR	M	22 Dec 1985	1985	2008,2007,2007,2007,2006,2006,2003	2003	2008
Zac PURCHASE	GBR	M	2 May 1986	1986	2012,2012,2012,2012,2011,2011,2010,2010,2010,2010,2008,2008,2008,2008,2007,2007,2007,2007,2006,2006,2005,2005,2005,2005,2004,2003	2003	2012
Ruben REGGIANI	GBR	M	18 Nov 1985	1985	2003	2003	2003
Will ROBINSON	GBR	M	26 May 1985	1985	2007,2006,2005,2004,2003	2003	2007
Colin SCOTT	GBR	M	4 Jun 1985	1985	2007,2007,2007,2005,2003	2003	2007
Ben SMITH	GBR	M	7 Aug 1986	1986	2008,2003	2003	2008
Alexander STENNING	GBR	M	19 Apr 1985	1985	2003	2003	2003
Daniel TIPNEY	GBR	M	30 Mar 1986	1986	2004,2003	2003	2004
Andrew WALKER	GBR	M	10 Apr 1986	1986	2004,2003	2003	2004
Tom WILKINSON	GBR	M	4 Jul 1985	1985	2010,2010,2009,2009,2009,2009,2008,2007,2007,2007,2006,2005,2003	2003	2010
Nicholas ZDRZALKA	GBR	M	7 Mar 1985	1985	2003	2003	2003
David EKVSHAURASHVILI	GEO	M	28 Aug 1987	1987	2003	2003	2003
George ELKANISHVILI	GEO	M	6 Mar 1986	1986	2007,2007,2006,2006,2004,2003	2003	2007
Shio JATIASHVILI	GEO	M	23 Jun 1986	1986	2004,2003	2003	2004
Giorgios BEGNIS	GRE	M	1 Jan 1986	1986	2004,2003	2003	2004
Chrysoula BOUGLA	GRE	M	13 May 1986	1986	2005,2004,2003	2003	2005
Maria EVANGELOU	GRE	W	9 Dec 1985	1985	2003	2003	2003
Eydokia KOTHEKIDOU	GRE	W	10 May 1985	1985	2003	2003	2003
Apostolos KOURKOUMPAS	GRE	M	24 May 1985	1985	2007,2007,2007,2007,2005,2005,2005,2004,2003,2003	2003	2007
Konstantinos LISGARAS	GRE	M	5 Oct 1985	1985	2003	2003	2003
Paraskevi NATSI	GRE	W	2 Jan 1986	1986	2006,2005,2004,2003	2003	2006
Charitini OIKONOMOU	GRE	W	22 Aug 1986	1986	2003	2003	2003
Dimitrios THEODORIDIS	GRE	M	17 Aug 1988	1988	2005,2004,2003	2003	2005
Ioannis TSAMIS	GRE	M	15 Apr 1986	1986	2009,2009,2009,2008,2007,2007,2007,2007,2006,2006,2005,2005,2005,2004,2003	2003	2009
Athanasios TSOCHAS	GRE	M	24 Oct 1986	1986	2004,2003	2003	2004
Lamprini TSOLAKOU	GRE	W	8 Jan 1986	1986	2003	2003	2003
Panagiotis VLACHOS	GRE	M	16 Apr 1986	1986	2004,2003	2003	2004
Lykourgos ZAFEIRIS	GRE	M	27 Apr 1985	1985	2003,2003	2003	2003
Wilson MIDENGA	KEN	M	12 Jul 1991	1991	2005	2005	2005
Balint HIRLING	HUN	M	28 Jan 1986	1986	2004,2003	2003	2004
Laszlo JAMBOR	HUN	M	25 Sep 1986	1986	2004,2003	2003	2004
Erik LASZLO	HUN	M	11 Dec 1986	1986	2004,2003	2003	2004
Roland TOTH	HUN	M	15 Jun 1985	1985	2003	2003	2003
Aodhan KELLY	IRL	M	12 Apr 1985	1985	2007,2007,2003	2003	2007
Niall KENNY	IRL	M	14 Mar 1989	1989	2011,2011,2011,2010,2007,2007,2005,2003	2003	2011
David WALSH	IRL	M	24 Jul 1985	1985	2007,2007,2003	2003	2007
Martin WALSH	IRL	M	20 Aug 1985	1985	2009,2007,2007,2005,2003	2003	2009
Tommaso BALBONI	ITA	M	17 May 1985	1985	2009,2005,2003	2003	2009
Gisella BASCELLI	ITA	W	28 Aug 1987	1987	2005,2005,2004,2003	2003	2005
Viviana BULGARELLI	ITA	W	8 Jan 1986	1986	2007,2007,2007,2004,2003	2003	2007
Matteo CASTALDO	ITA	M	11 Dec 1985	1985	2018,2018,2018,2017,2017,2017,2016,2016,2016,2015,2015,2015,2014,2014,2014,2013,2013,2013,2012,2009,2009,2008,2007,2005,2004,2003	2003	2018
Marco CECCHIN	ITA	M	11 Nov 1985	1985	2007,2005,2004,2003	2003	2007
Marcello COLETTO	ITA	M	19 Jun 1988	1988	2003	2003	2003
Ciprian CURSARU	ITA	M	1 Feb 1986	1986	2008,2004,2003	2003	2008
Luca D'ALTILIA	ITA	M	7 Jan 1986	1986	2008,2004,2003	2003	2008
Daniele DANESIN	ITA	M	7 Dec 1985	1985	2012,2012,2012,2012,2011,2011,2011,2011,2010,2010,2010,2010,2009,2008,2008,2008,2007,2007,2007,2007,2006,2006,2006,2005,2005,2005,2004,2003	2003	2012
Lara DE STEFANO	ITA	W	28 Oct 1985	1985	2005,2005,2005,2004,2003	2003	2005
Andrea DE CORO	ITA	M	18 Jul 1986	1986	2008,2005,2004,2003	2003	2008
Flavio DI VIETRO	ITA	M	27 Sep 1987	1987	2003	2003	2003
Elena DRAGOTTO	ITA	W	11 Aug 1986	1986	2004,2003	2003	2004
Raffaella FORMISANO	ITA	W	25 Dec 1985	1985	2004,2003	2003	2004
Martino GORETTI	ITA	M	27 Sep 1985	1985	2018,2018,2018,2017,2017,2017,2016,2016,2016,2015,2015,2015,2014,2014,2014,2013,2013,2012,2012,2012,2012,2012,2011,2011,2011,2011,2010,2010,2010,2010,2009,2009,2009,2008,2007,2007,2006,2006,2006,2005,2005,2005,2005,2004,2003	2003	2018
Gianmarco GUGLIELMINO	ITA	M	31 Jul 1985	1985	2003	2003	2003
Jacopo LANNI	ITA	M	2 Oct 1988	1988	2004,2003	2003	2004
Veronica LISI	ITA	W	6 Oct 1987	1987	2003	2003	2003
Luca MARTIN	ITA	M	3 Jun 1986	1986	2005,2004,2003	2003	2005
Matteo MOTTA	ITA	M	2 Mar 1986	1986	2009,2009,2008,2007,2006,2006,2005,2004,2003	2003	2009
Sandi PACE	ITA	M	27 Jun 1985	1985	2003	2003	2003
Antonio PIZZURRO	ITA	M	28 May 1985	1985	2007,2006,2005,2003	2003	2007
Vera POIATTI	ITA	W	24 Sep 1985	1985	2004,2003	2003	2004
Davide RICCARDI	ITA	M	18 Jul 1986	1986	2012,2011,2011,2010,2010,2010,2009,2009,2008,2007,2005,2004,2003	2003	2012
Nicolo ROMANELLI	ITA	M	3 Jun 1989	1989	2003	2003	2003
Matteo ROMANO	ITA	M	14 May 1986	1986	2004,2003	2003	2004
Denise TREMUL	ITA	W	27 Nov 1987	1987	2006,2005,2004,2003	2003	2006
Kazuya HAMAKI	JPN	M	19 Jan 1986	1986	2007,2003	2003	2007
Manami HAYASHI	JPN	W	30 Dec 1985	1985	2012,2012,2011,2011,2011,2010,2010,2005,2003	2003	2012
Ayako HORIBATA	JPN	W	19 Jul 1985	1985	2005,2005,2004,2003	2003	2005
Sachie NASU	JPN	W	29 Dec 1985	1985	2003	2003	2003
Hiroki SAWA	JPN	M	29 Aug 1985	1985	2003	2003	2003
Soichi SUWA	JPN	M	18 Apr 1985	1985	2005,2003	2003	2005
Yuki TAMAGAWA	JPN	W	26 May 1986	1986	2006,2006,2005,2004,2003	2003	2006
Hiroyuki UEDA	JPN	M	24 Jun 1985	1985	2003	2003	2003
Mikhail TASKIN	KAZ	M	27 Aug 1986	1986	2014,2009,2003	2003	2014
Dmitriy KOZLOV	KAZ	M	26 Oct 1986	1986	2003	2003	2003
Pavel PRIKHODKO	KAZ	M	3 Mar 1987	1987	2007,2003	2003	2007
Alexej TAPOLIA	KAZ	M	16 Jul 1985	1985	2003	2003	2003
Alexander TRIMASSOV	KAZ	M	29 Mar 1985	1985	2003	2003	2003
Andis BALODIS	LAT	M	1 Jul 1985	1985	2006,2005,2005,2004,2003	2003	2006
Raivis BERZINS	LAT	M	1 May 1985	1985	2005,2005,2004,2003	2003	2005
Janis RIMSA	LAT	M	5 Sep 1985	1985	2006,2005,2004,2003	2003	2006
Dmitrijs ZURAVLOVS	LAT	M	25 Sep 1985	1985	2005,2004,2003	2003	2005
Gabriele ALBERTAVICIUTE	LTU	W	3 Aug 1985	1985	2011,2011,2011,2010,2010,2009,2009,2008,2007,2007,2007,2005,2004,2003	2003	2011
Jonas RINKAUSKAS	LTU	M	18 Nov 1985	1985	2005,2004,2003	2003	2005
Marius VAITIEKUS	LTU	M	26 May 1985	1985	2007,2006,2005,2004,2003	2003	2007
David GONZALEZ	MEX	M	18 Nov 1985	1985	2003	2003	2003
