name	country	gender	birthdate	birthyear	competition_years	first	last	results
Andrey SHEVEL	RUS	M	7 Jul 1972	1972	2010;2008;2006;2006;2006;2005;2005;2005;2004;2004;2004;2003;2003;2002;2002;2002;2001;2001;2000;1999;1998;1997;1996;1995	1995	2010	FC Final,3,LM2x;FC Final,6,LM1x;R1 Repechage,4,LM4-;FC Final,1,LM4-;FB Final,1,LM4-;FB Final,4,LM2-;FB Final,3,LM2-;FB Final,3,LM4-;FC Final,2,LM2-;FB Final,3,LM2-;H4 Heat,4,M2-;FC Final,5,LM2x;FB Final,1,LM1x;FB Final,2,LM2x;FB Final,3,LM2x;FA Final,3,LM2x;FB Final,2,LM1x;FB Final,4,LM2x;FB Final,4,LM4-;FB Final,2,LM4-;FB Final,6,LM4-;FA Final,6,LM4-;FC Final,1,LM4-;FC Final,6,LM2x
Noriko SHIBUTA	JPN	W	3 May 1972	1972	1996;1990	1990	1996	FC Final,1,LW2x;FB Final,2,JW2x
Sergiy CHYKANOV	UKR	M	3 Nov 1979	1979	2015;2015;2014;2014;2013;2012;2012;2012;2012;2012;2011;2011;2011;2011;2010;2010;2010;2010;2009;2009;2003;2002;2002;2001;2001;2001;1997;1996	1996	2015	FD Final,6,M2-;FB Final,1,M8+;FB Final,6,M4-;FB Final,2,M8+;FB Final,2,M2-;FB Final,3,M2-;FB Final,2,M8+;FA Final,4,M8+;R Repechage,5,M8+;FA Final,5,M8+;F Final,3,M8+;FB Final,1,M8+;FB Final,2,M8+;FB Final,1,M8+;FB Final,4,M8+;FA Final,3,M8+;FA Final,6,M8+;FA Final,5,M8+;FA Final,2,M8+;FB Final,2,M8+;FC Final,2,M8+;FB Final,6,M8+;H1 Heat,6,M2-;FA Final,6,M2+;FB Final,5,M2-;FB Final,2,M2-;FA Final,6,JM4-;FB Final,5,JM4+
Vyatcheslav SHILKIN	RUS	M	None	None	1990	1990	1990	FB Final,4,JM4-
Vitaliy SHILKOV	UKR	M	None	None	1995;1993	1993	1995	FD Final,5,LM4-;FC Final,1,LM4-
Hyun Mun SHIN	KOR	M	None	None	1998	1998	1998	FC Final,5,M4-
Alexei SHIPILOV	RUS	M	None	None	1993	1993	1993	FC Final,4,JM2x
Dmitri SHIPLYAKOV	RUS	M	None	None	2001;2000;1999;1998	1998	2001	SC/D 1 Semifinal,1,BM2x;FA Final,4,BM4x;FC Final,4,M4x;FA Final,2,JM4x
Natalia SHISHKINA	RUS	W	None	None	1996	1996	1996	FA Final,5,BW4-
Alexander SHISHOV	RUS	M	None	None	1996	1996	1996	FA Final,5,JM8+
Panagiotis SHIZODIMOS	GRE	M	None	None	1995	1995	1995	R Repechage,6,JM4+
Igor SHKABERIN	RUS	M	None	None	1995;1994;1992;1991;1990	1990	1995	FA Final,4,M8+;FB Final,1,M8+;FB Final,4,M8+;FB Final,1,M8+;FA Final,6,M8+
Alexei SHMATKOV	TKM	M	None	None	1996;1994	1994	1996	FD Final,4,LM1x;FC Final,6,JM2x
Yulia SHOKINA	RUS	W	None	None	1994	1994	1994	FB Final,1,JW8+
Anton SHOR	ISR	M	None	None	1998	1998	1998	FD Final,3,JM2x
Michael SHORT	RSA	M	26 Feb 1974	1974	2001;2001;2001;2000;1999;1999;1999;1994;1994	1994	2001	FC Final,1,LM4-;FB Final,4,LM4-;R1 Repechage,4,LM4-;FB Final,2,LM4-;FB Final,4,LM4-;FB Final,2,LM2-;FA Final,6,LM2-;FA Final,12,BM4-;FB Final,6,BM4-
Ali SHOUKAT	PAK	M	None	None	1994	1994	1994	FD Final,5,JM2x
Alvinos SHOUKRIS	CYP	M	None	None	1997	1997	1997	FE Final,4,JM2x
Dato SHRELIDRE	GEO	M	None	None	1997	1997	1997	FD Final,2,M2x
E. SHROPSHIRE	GBR	M	None	None	1991	1991	1991	FB Final,1,JM2+
Denis SHTCHEGLOV	RUS	M	None	None	1996;1995	1995	1996	F Final,1,JM2+;FB Final,2,JM8+
Igor SHTCHERBAKOV	URS	M	None	None	1998;1997;1994	1994	1998	FC Final,5,BM2x;FD Final,1,BM1x;FD Final,3,JM4x
Dmitry SHCHERBINA	RUS	M	13 Apr 1975	1975	2002;2001;2000;1998;1997;1993	1993	2002	H3 Heat,4,M2-;FB Final,1,M2+;FB Final,5,M4+;FB Final,6,M4-;FB Final,6,BM2-;FA Final,2,JM8+
Andrei SHTCHETIN	RUS	M	None	None	1993	1993	1993	FA Final,2,JM8+
Elena SHUMYUK	RUS	W	None	None	1990;1989	1989	1990	FA Final,3,JW4x;FA Final,3,JW4x
Pavel SHURMEI	BLR	M	1 Sep 1976	1976	2009;2009;2008;2008;2008;2007;2007;2006;2006;2006;2006;2005;2005;2004;2004;2004;2004;2003;2003;2002;2002;2002;2002;2001;2001;2000;2000;1999;1999;1997;1996;1995	1995	2009	FB Final,5,M4x;FC Final,2,M2x;FB Final,3,M4x;FB Final,5,M4x;FB Final,5,M4x;FE Final,2,M1x;FB Final,3,M4x;FB Final,3,M2x;FC Final,1,M2x;FB Final,5,M2x;FD Final,1,M2x;FB Final,6,M4x;FB Final,1,M4x;FA Final,6,M4x;FA Final,4,M4x;FA Final,1,M4x;FA Final,2,M4x;FB Final,5,M4x;FA Final,6,M4x;FA Final,6,M4x;FA Final,2,M4x;FA Final,6,M4x;FA Final,4,M4x;FC Final,3,M1x;FB Final,3,M2x;FB Final,1,M2x;FB Final,4,M2x;SC/D 2 Semifinal,4,M4x;FA Final,5,M4x;FB Final,3,M8+;FB Final,4,M4+;FB Final,4,M4+
Wang SHUTUAN	CHN	W	None	None	1994	1994	1994	FB Final,1,W4-
David SHVELIDZE	GER	M	None	None	1996	1996	1996	FD Final,5,JM1x
Ramon SIACA	PUR	M	None	None	1994	1994	1994	FC Final,5,LM2x
Mihal SIARHEI	BLR	M	None	None	1998	1998	1998	FC Final,4,JM4x
Einaras SIAUDVYTIS	LTU	M	1 Nov 1977	1977	2007;2006;2006;2005;2005;2005;2004;2004;2003;2003;2003;2002;2002;2002;2001;2000;1999;1998;1997;1996;1995	1995	2007	FC Final,5,M2-;FD Final,1,M1x;FC Final,4,M2x;FC Final,5,M2x;FC Final,3,M2x;FA Final,6,M2x;FC Final,2,M2x;R1 Repechage,3,M2x;FB Final,5,M2x;FB Final,5,M2x;FB Final,3,M2x;FB Final,4,M2x;FB Final,2,M2x;FA Final,5,M2x;FB Final,2,M2x;FA Final,5,M1x;FA Final,2,BM1x;SA/B 1 Semifinal,5,BM1x;SC/D 1 Semifinal,2,BM1x;R Repechage,5,BM4x;FD Final,3,JM1x
Tvrtko SIBALIC	CRO	M	22 Apr 1975	1975	1994;1994;1993	1993	1994	FA Final,10,BM4x;FB Final,4,BM4x;FB Final,6,JM4x
Loic SIBEUD	FRA	M	None	None	1999;1996	1996	1999	FA Final,3,BLM4-;FA Final,6,JM4-
Horacio SICILIA	ARG	M	22 Mar 1974	1974	2008;2008;2007;1999;1996	1996	2008	FB Final,3,M4-;FB Final,5,M4-;FC Final,4,M4-;FA Final,4,M4+;R Repechage,6,M4-
Gian-Pietro SIDA	ITA	M	None	None	None	None	NoneNone
Giorgios SIDERIDIS	GRE	M	None	None	1988;1987;1986;1985	1985	1988	FB Final,1,BM4-;FB Final,4,BM2x;FB Final,4,JM4x;FB Final,5,JM4x
Alfred SIDLER	SUI	M	None	None	None	None	NoneNone
Roman SIDLER	SUI	M	23 Feb 1965	1965	1987;1986;1985;1983	1983	1987	FB Final,4,BM1x;FA Final,6,BM2x;FB Final,1,BM2x;FB Final,3,JM2x
Igor SIDOROVITCH	RUS	M	None	None	1989	1989	1989	FA Final,1,JM8+
Friedrich-Wilhelm SIDOW	GER	M	None	None	None	None	NoneNone
Paul SIEBER	SUI	M	None	None	None	None	NoneNone
Anne SIEBERT	GER	W	None	None	1995;1994	1994	1995	FA Final,1,JW8+;FA Final,3,JW4-
Axel SIEBERT	GER	M	None	None	1983	1983	1983	FA Final,1,JM2x
Bjoern SIEBERT	GER	M	None	None	1992	1992	1992	FA Final,1,JM2-
Joerg SIEBERT	GER	M	2 Apr 1944	1944	1968	1968	1968	F Final,1,M8+
Steven SIEBERT	GER	M	None	None	None	None	NoneNone
Bernd SIEBOLD	GER	M	None	None	1992	1992	1992	FA Final,1,BM8+
Birte SIECH	GER	W	19 Mar 1967	1967	1994;1993;1992;1990;1988;1987;1984	1984	1994	FA Final,4,W2-;FA Final,4,W4-;FA Final,3,W4-;FA Final,3,W2-;F Final,1,W4+;FA Final,2,W4+;FA Final,1,JW2-
Willy SIEGENTHALER	SUI	M	None	None	None	None	NoneNone
Marian SIEJKOWSKI	POL	M	29 Aug 1940	1940	1993;1972;1964	1964	1993	FB Final,1,M8+;F Final,6,M8+;F Final,6,M2+
Matthias SIEJKOWSKI	GER	M	13 Dec 1967	1967	1989;1987;1986;1985	1985	1989	FA Final,1,BM8+;FA Final,2,BM8+;FA Final,4,BM4+;FA Final,5,JM2+
Carola SIEMERS	GER	W	17 Nov 1969	1969	1987	1987	1987	FA Final,6,JW2x
Arno SIEMES	GER	M	None	None	1996;1992	1992	1996	SA/B 1 Semifinal,1,BM4-;FA Final,2,JM8+
Ulf SIEMES	GER	M	14 May 1978	1978	2007;2007;2007;2006;2006;2006;2006;2005;2005;2005;2005;2004;2004;2004;2004;2003;2003;2003;2003;2002;2002;2002;2002;2001;2001;2001;2000;2000;1999;1999;1998;1998;1998;1997;1997;1997;1996;1995	1995	2007	FA Final,2,M8+;FA Final,2,M8+;FA Final,4,M8+;FA Final,1,M8+;FA Final,1,M8+;FA Final,5,M8+;FA Final,1,M8+;FA Final,3,M8+;FA Final,1,M8+;FA Final,3,M8+;FA Final,1,M8+;FA Final,4,M8+;FA Final,2,M8+;FA Final,2,M8+;FA Final,2,M8+;FA Final,6,M8+;FA Final,2,M8+;FA Final,1,M8+;FA Final,1,M8+;FA Final,2,M8+;FA Final,1,M8+;FA Final,2,M8+;FA Final,1,M8+;FA Final,3,M8+;FA Final,2,M8+;FA Final,3,M8+;FA Final,1,BM8+;FA Final,3,M8+;FA Final,2,BM8+;F Final,1,M4+;FA Final,3,BM8+;FB Final,2,M8+;F Final,6,M8+;FA Final,1,BM8+;FB Final,1,M8+;FA Final,3,M8+;FA Final,2,JM2-;FA Final,1,JM8+
Geraldo SIENRA ENCINA	PAR	M	None	None	1990	1990	1990	FC Final,6,LM1x
Heinz-Joachim SIERING	GER	M	5 May 1950	1950	1973	1973	1973	FB Final,3,M4+
Victor SIEWERTZ	SWE	M	None	None	1990;1984	1984	1990	FC Final,2,LM1x;FB Final,6,JM8+
Michael SIFFERT	SUI	M	16 Jul 1976	1976	None	None	NoneNone
Eugen SIGG	SUI	M	None	None	1924	1924	1924	F Final,1,M4+
Ueli SIGG	SUI	M	29 Apr 1946	1946	None	None	NoneNone
Regitze SIGGAARD	DEN	W	22 Sep 1967	1967	1990;1989;1987;1985	1985	1990	FA Final,1,LW2x;FA Final,4,LW2x;FB Final,5,LW1x;FB Final,1,JW4x
Wolfgang SIGL	AUT	M	23 Dec 1972	1972	2004;2004;2004;2003;2003;2003;2002;2002;2002;2002;2001;2001;2001;2001;2001;2000;2000;2000;2000;2000;1999;1999;1999;1999;1998;1998;1998;1998;1997;1996;1995;1994;1993;1992;1991	1991	2004	FB Final,4,LM4-;FB Final,3,LM4-;SA/B 2 Semifinal,5,LM4-;FC Final,4,M4x;FA Final,5,M4x;FC Final,5,M4x;FB Final,3,LM4-;FA Final,3,LM4-;FA Final,3,LM4-;FA Final,3,LM4-;FA Final,1,LM4-;FA Final,3,LM4-;F Final,2,LM4-;FA Final,4,LM4-;F Final,4,M8+;FB Final,3,LM4-;FA Final,6,LM4x;FA Final,2,LM4-;FA Final,1,LM4-;FA Final,2,LM4-;FA Final,5,LM4-;FB Final,1,LM4-;FA Final,2,LM4-;FB Final,1,LM4-;FA Final,5,LM4-;FA Final,3,LM4-;FA Final,3,LM4-;FA Final,3,LM4-;FA Final,5,LM1x;FA Final,5,LM2x;FA Final,4,LM2x;FA Final,1,LM4x;FA Final,1,LM4x;FA Final,2,BLM2x;FA Final,6,BLM2x
Radoslaw SIKORSKI	POL	M	None	None	1999;1999;1998;1997;1995	1995	1999	FA Final,5,BM2-;F Final,5,M8+;FA Final,6,BM8+;FA Final,2,BM4+;FB Final,1,JM4-
Florica SILAGHI	ROU	W	4 May 1957	1957	1979;1978	1978	1979	FA Final,3,W4+;FA Final,3,W4+
Jitka SILBERNAGELOVA	CZE	W	None	None	1996	1996	1996	FA Final,5,JW8+
Lenka SILBERNAGELOVA	CZE	W	None	None	1995	1995	1995	FA Final,4,JW8+
Malgorzata SILECKA	POL	W	None	None	1996	1996	1996	FB Final,2,JW4-
Markian SILECKY	CAN	M	None	None	1998	1998	1998	FB Final,2,M8+
Leona SILEROVA	CZE	W	None	None	1996;1995	1995	1996	FA Final,5,JW8+;FA Final,4,JW8+
Andrei SILIN	EST	M	28 Aug 1978	1978	2005;2004;2004;2004;2004;2003;2003;2003;2002;2002;2002;2001;2001;2001;2000;2000;2000;2000;2000;1999;1999;1998;1997;1996;1995;1994	1994	2005	FC Final,1,M2x;FB Final,3,M4x;FB Final,4,M4x;FA Final,2,M4x;FA Final,4,M4x;FB Final,1,M4x;FA Final,6,M4x;FB Final,5,M4x;FB Final,1,M4x;FA Final,4,M4x;FA Final,5,M4x;FB Final,1,M4x;R1 Repechage,4,M2x;FA Final,5,M2x;FB Final,3,M2x;FA Final,1,BM2x;FB Final,2,M2x;FB Final,4,M2x;FB Final,5,M2x;FB Final,2,M2x;FB Final,6,M2x;SA/B 1 Semifinal,3,BM1x;SC/D 1 Semifinal,3,BM1x;FB Final,3,JM1x;FD Final,5,JM2x;FD Final,1,JM4x
Igor SILIN	EST	M	None	None	1994	1994	1994	FD Final,1,JM2x
Albino SILVA	POR	M	4 Oct 1950	1950	2001;1998;1996;1995;1995;1994;1994;1993;1992;1991	1991	2001	FB Final,3,M8+;FD Final,4,M2x;FB Final,6,M4+;FC Final,2,M8+;FB Final,1,BLM4-;FA Final,10,BM4-;FB Final,4,BM4-;FB Final,5,BM2x;FB Final,2,BM4x;FA Final,6,JM4x
Americo SILVA	POR	M	None	None	1995	1995	1995	FC Final,4,LM4-
Sara SILVA REBELO	POR	W	21 Apr 1981	1981	2010;2010;2007;2007;2006;2001;2001;1999;1998	1998	2010	FB Final,5,W1x;FB Final,5,W1x;FC Final,5,W1x;FD Final,2,W1x;FC Final,1,W1x;R3 Repechage,4,W1x;R2 Repechage,4,BW1x;FB Final,3,JW1x;FC Final,1,JW1x
Silvia SILVA	POR	W	None	None	1995;1993	1993	1995	FB Final,2,BW4x;FC Final,4,JW2x
Angela SILVA-JONES	ZIM	W	None	None	1991	1991	1991	FB Final,1,LW4-
Javier SILVESTRE	ESP	M	25 Jun 1970	1970	1989;1988	1988	1989	R Repechage,5,BM8+;FB Final,2,JM4x
Ivana SIMAC	CRO	W	None	None	1999;1998	1998	1999	FB Final,5,JW2x;FB Final,5,JW2x
Zavisa SIMAC	CRO	W	None	None	1993	1993	1993	FB Final,3,JM4-
Tatyana SIMAKOVA	RUS	W	None	None	1989	1989	1989	FB Final,3,W2-
Robert SIMEK	CZE	M	24 Apr 1971	1971	1995;1993;1990;1989;1988	1988	1995	FD Final,1,M2x;FC Final,4,M4x;FA Final,5,BM2x;FA Final,4,JM4x;FB Final,2,JM2x
Ondrej SIMEK	CZE	M	None	None	1998	1998	1998	FB Final,1,JM8+
Beatrice SIMENON	BEL	W	None	None	None	None	NoneNone
Genevieve SIMENON	BEL	W	2 Apr 1960	1960	1979	1979	1979	FB Final,5,W4x+
Drazen SIMICEVIC	CRO	M	None	None	2000;2000	2000	2000	FB Final,1,BM4+;FB Final,1,M8+
Evgeni SINITSIN	RUS	M	6 Jan 1981	1981	2012;2012;2012;2011;2009;2009;2000;1997	1997	2012	FA Final,6,LM4-;R1 Repechage,4,LM4-;FB Final,2,LM4-;FD Final,4,LM4-;FB Final,3,LM4-;FC Final,6,LM4-;H1 Heat,5,BLM4-;FC Final,2,JM2-
Phil SIMMONS	GBR	M	6 Feb 1975	1975	2005;2005;2005;2004;2004;2004;2004;2003;2003;2003;2002;2002;2002;2001;2001;2001;2001;2000;2000;2000;1997;1993;1992	1992	2005	FB Final,4,M2-;FA Final,5,M8+;FA Final,3,M8+;FB Final,3,M8+;R1 Repechage,6,M8+;FA Final,4,M8+;FA Final,5,M8+;FA Final,3,M8+;FB Final,1,M8+;FA Final,3,M8+;FA Final,6,M8+;FA Final,6,M8+;FA Final,6,M4-;FA Final,5,M8+;FA Final,3,M8+;F Final,1,M8+;FA Final,2,M4-;FB Final,4,M2+;FB Final,6,M2-;FA Final,5,M4-;FB Final,3,BM8+;FA Final,4,JM4+;F Final,3,JM2+
Sarah SIMMONS	USA	W	None	None	1996;1995;1990	1990	1996	F Final,3,LW4-;F Final,1,LW4-;FB Final,1,JW4-
Primoz SIMNIC	SLO	M	None	None	1995;1994	1994	1995	FB Final,3,JM4-;FB Final,5,JM4-
Jorge SIMOES	POR	M	None	None	1997	1997	1997	FC Final,2,BM2x
Nuno SIMOES	POR	M	None	None	1997;1997;1996;1992	1992	1997	FD Final,1,LM2x;FB Final,6,BLM2x;FA Final,4,BLM4x;FB Final,2,BM4x
Paula SIMOES RODRIGUEZ	ESP	W	21 Feb 1982	1982	2002;2001;2001;2001;2001;2000;1999	1999	2002	FA Final,6,BLW2x;FA Final,5,LW4x;FA Final,6,LW4x;FB Final,5,LW2x;H2 Heat,3,BLW2x;FB Final,1,JW4x;FC Final,4,JW2x
Diederik SIMON	NED	M	10 Apr 1970	1970	2012;2012;2012;2011;2011;2011;2010;2010;2010;2010;2009;2009;2009;2008;2008;2008;2007;2007;2007;2004;2004;2004;2003;2003;2003;2002;2002;2002;2001;2001;2001;2000;2000;2000;1999;1999;1999;1998;1998;1998;1997;1997;1997;1996;1995	1995	2012	FA Final,5,M8+;FA Final,4,M8+;FA Final,3,M8+;FA Final,6,M8+;FA Final,2,M8+;FA Final,4,M8+;FA Final,4,M8+;FA Final,4,M8+;FB Final,2,M8+;FA Final,2,M8+;FA Final,3,M8+;FA Final,3,M8+;FA Final,4,M8+;FA Final,4,M8+;FB Final,2,M8+;FB Final,1,M8+;FB Final,4,M8+;FA Final,5,M8+;FB Final,2,M8+;FA Final,2,M8+;FA Final,3,M8+;FA Final,4,M8+;FB Final,6,M4x;FA Final,2,M4x;FA Final,3,M4x;FA Final,5,M4-;FA Final,5,M2-;FB Final,2,M2-;FA Final,2,M4x;FA Final,3,M4x;FA Final,1,M4x;FA Final,2,M4x;FA Final,2,M4x;FA Final,3,M4x;FA Final,4,M4x;FA Final,4,M4x;FB Final,1,M2x;FB Final,2,M4x;FB Final,4,M4x;FB Final,6,M1x;FB Final,1,M4x;FB Final,3,M4x;FA Final,2,M4x;FA Final,1,M8+;FB Final,2,M2-
Janos SIMON	HUN	M	None	None	1988	1988	1988	FB Final,4,JM4+
Laurent SIMON	FRA	M	None	None	1993	1993	1993	FB Final,4,JM4-
Martin SIMONCELLI	NZL	M	28 Sep 1972	1972	1991;1990	1990	1991	FA Final,5,BM4-;FA Final,5,JM4-
Svetlana SIMONOVA	RUS	W	None	None	1997	1997	1997	FA Final,2,JW8+
Nils-Torolv SIMONSEN	NOR	M	25 Apr 1979	1979	2007;2006;2006;2006;2006;2005;2005;2005;2005;2004;2004;2004;2004;2003;2003;2003;2003;2002;2002;2002;2001;2001;2001;2001;2000;2000;2000;2000;1999;1999;1999;1998;1997;1996;1995	1995	2007	FC Final,2,M1x;FB Final,4,M2x;FB Final,1,M2x;FB Final,3,M2x;FC Final,2,M2x;FC Final,1,M2x;FA Final,4,M2x;FB Final,2,M2x;FA Final,2,M2x;FA Final,7,M2x;FA Final,6,M1x;FB Final,3,M2x;FA Final,4,M2x;FB Final,6,M2x;FC Final,5,M2x;FB Final,3,M2x;FB Final,4,M2x;FC Final,1,M2x;FC Final,2,M2x;FC Final,2,M2x;FC Final,2,M4x;FB Final,2,M4x;FA Final,4,M4x;SA/B 1 Semifinal,1,BM1x;FB Final,3,M4-;FA Final,6,M4-;FA Final,6,M4-;FA Final,3,M4-;FA Final,5,M4-;FA Final,2,M4-;FA Final,2,M4-;SA/B 1 Semifinal,6,BM2-;FB Final,4,JM4x;FA Final,4,JM4x;FC Final,5,JM4x
Georgina SIMPSON	ZIM	W	26 Aug 1974	1974	2003;2002;2002;2001;2000;1999;1996	1996	2003	FD Final,3,LW2x;FC Final,2,LW2x;H3 Heat,6,LW2x;F Final,4,LW2-;FB Final,6,LW1x;FC Final,5,LW2x;F Final,6,LW2-
Mark SIMPSON	GBR	M	None	None	1996;1995	1995	1996	FA Final,3,BLM4x;FB Final,4,BLM2x
Dean SIMPSON	NZL	M	None	None	1990	1990	1990	FB Final,3,M8+
